dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,4,3.912,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,3.5066,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.8878048780487806,0.0,0.16666666666666666,0.0,0.5714285714285714,0.0,0.25806451612903225,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,4.2,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.9609756097560975,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,2.9957,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.6634146341463415,0.0,0.06944444444444445,0.0,0.7142857142857143,0.0,0.12658227848101267,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,2.3026,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.3024390243902439,0.0,0.04054054054054054,0.0,0.8571428571428571,0.0,0.07741935483870968,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,1.6094,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.08292682926829269,0.0,0.035897435897435895,0.0,1.0,0.0,0.06930693069306931,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.0,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.001,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.005,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.01,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.05,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.1054,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.2231,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.3567,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.5108,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.6931,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.9163,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,1.204,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,1.6094,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.22181818181818183,0.0,0.0273972602739726,0.0,0.8571428571428571,0.0,0.053097345132743355,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,1.204,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.06909090909090909,0.0,0.026615969581749048,0.0,1.0,0.0,0.05185185185185185,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.9163,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03636363636363636,0.0,0.025735294117647058,0.0,1.0,0.0,0.05017921146953406,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.0,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.001,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.005,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.01,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.05,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.1054,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.2231,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.3567,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.5108,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.6931,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,2.3026,3,0.1,avg_negative_log,5,,True,5.0,uniform,5,0.4763636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
